a,b,c,d
0.3362723364,0.3250110687,0.001019640838,0.4014018972
0.9802649684,0.831835355,0.7722883679,0.07648537667
0.4803872426,0.6868393728,0.0005746529725,0.7467584766
0.5021060967,0.3051415891,0.7686084672,0.6546852
0.8566020375,0.1714484288,0.1579712922,0.3212314832
0.7059734811,0.6326888751,0.5040165014,0.3136221379
0.1667244159,0.2697337552,0.6085693622,0.874427131
0.05404059311,0.9664396928,0.06559570391,0.1094481424
0.7578390928,0.5238852911,0.5272102788,0.2269364792
0.4253833222,0.2137012562,0.04902015655,0.2875979408
0.1768368095,0.166533566,0.7793735548,0.9364861878
0.2215458546,0.660821375,0.8117815898,0.3925650131
0.001350369962,0.4501858935,0.0764694643,0.7533679412
0.5373231465,0.6237788989,0.07185135746,0.751200051
0.03228400417,0.05018191207,0.8975624867,0.6141292789
0.488804233,0.09137438583,0.2038030648,0.1797079498
0.8211155924,0.1914067051,0.7569623666,0.5923832773
0.2026986894,0.1039781447,0.3422364309,0.7876262313
0.1852175214,0.7515544279,0.6127372143,0.08842911002
0.842810326,0.8423568832,0.2065885639,0.3899396257
0.8440331226,0.4499813872,0.1321975842,0.1039382925
0.1638779911,0.1123539278,0.2190873454,0.05932694765
0.3319021921,0.8080268099,0.5101723812,0.3875393176
0.5016420034,0.9413004248,0.3237529405,0.6909106696
0.3715195522,0.8763309746,0.1443575189,0.5945854325
0.9943289797,0.4147718333,0.4402798249,0.5476511262
0.006799713082,0.4603723952,0.09186946681,0.5517256897
0.2038574471,0.3080692278,0.2407559727,0.980956634
0.6057790651,0.3807637128,0.7929227834,0.8916493534
0.4773044458,0.1834892123,0.8665347876,0.2011535525
0.5562623859,0.127412511,0.56689729,0.3758283144
0.6094551685,0.4238303849,0.06312888353,0.9296411625
0.2830144384,0.3499472514,0.7866534502,0.5685738387
0.6083096069,0.8547908027,0.1394453009,0.4875846563
0.7950019426,0.9213101744,0.7131410422,0.6854997472
0.7029167242,0.9942208896,0.1578293249,0.7526027061
0.009322285638,0.8523851062,0.9869823483,0.3413654401
0.128520804,0.5962412403,0.3968413103,0.784855286
0.002236448759,0.563735647,0.8886645729,0.3738648523
0.7842827419,0.4992192667,0.4517023265,0.377078755
0.9158907843,0.6409957559,0.4956877391,0.2017170937
0.1949721879,0.07799977284,0.4516462653,0.4156964312
0.1813240056,0.5661707176,0.6056319812,0.416567577
0.3848877314,0.9821137123,0.5027171764,0.8135781539
0.2932146808,0.1317842566,0.6533587395,0.9163419034
0.2404996444,0.2583681501,0.857672135,0.6353489073
0.7845072208,0.5549383923,0.943035988,0.02091717965
0.4890808014,0.6437666546,0.04664450519,0.9578885394
0.4228457629,0.8689120616,0.7972507966,0.01985696645
0.924186749,0.4185008058,0.4394385763,0.8024008069
0.8305625919,0.3108978273,0.6129356703,0.8716646406
0.09594336918,0.01904015285,0.8979912879,0.8430887206
0.009327986936,0.8866217729,0.4970262703,0.5585917931
0.7659452276,0.02108112549,0.05379451175,0.1318208839
0.5137324258,0.03507429772,0.6188835497,0.4741211235
0.1135848655,0.5406403944,0.07294492485,0.5527552832
0.08956748868,0.116549225,0.4626665213,0.3264260289
0.4211171587,0.6632165455,0.6309662913,0.8286446437
0.5637355342,0.9629205938,0.4883610215,0.1793018527
0.5665145754,0.4746589228,0.7069399195,0.6843231102
0.7919669844,0.4128671735,0.2199075673,0.7190515874
0.4540253976,0.8591098044,0.05641593355,0.05249994143
0.8676454048,0.8060309968,0.7976554814,0.3095319522
0.4034305636,0.0361341846,0.3325763107,0.9512794916
0.2065324182,0.6811942258,0.1388068479,0.9074495293
0.9099121744,0.6749347934,0.7193643552,0.5879654996
0.9521397234,0.3402404046,0.7324666462,0.8387632212
0.8421351523,0.9612201386,0.4778471185,0.5306040734
0.7258327483,0.1274059084,0.5227115975,0.9165137051
0.3972623094,0.920527092,0.3789031508,0.8293212928
